2023-10-30 01:28:38: [200151][Richter][113|2227|2322]  HOẠT LỰC :2560 | TINH LỰC :2560| BẠC :137100| BẠC KHÓA :662736| ĐỒNG  :0| ĐỒNG KHÓA :5075
2023-10-30 01:28:40: [200153][ThanNo][113|2227|2322]  HOẠT LỰC :2565 | TINH LỰC :2565| BẠC :136950| BẠC KHÓA :691266| ĐỒNG  :0| ĐỒNG KHÓA :5350
2023-10-30 01:28:44: [200144][akansi][113|2227|2322]  HOẠT LỰC :2580 | TINH LỰC :2580| BẠC :137100| BẠC KHÓA :760643| ĐỒNG  :0| ĐỒNG KHÓA :5100
2023-10-30 01:31:41: [200156][ChienThien][113|2227|2322]  HOẠT LỰC :2525 | TINH LỰC :2535| BẠC :96550| BẠC KHÓA :693271| ĐỒNG  :0| ĐỒNG KHÓA :5125
2023-10-30 01:33:38: [205665][SSSSSS11][23|6535|3620]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :420097| ĐỒNG  :0| ĐỒNG KHÓA :5650
2023-10-30 01:33:38: [205668][SSSSSS14][23|6535|3620]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :471727| ĐỒNG  :0| ĐỒNG KHÓA :4500
2023-10-30 01:33:38: [205664][SSSSSS13][23|6535|3620]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :460927| ĐỒNG  :0| ĐỒNG KHÓA :4600
2023-10-30 01:33:38: [205666][SSSSSS12][23|6535|3620]  HOẠT LỰC :0 | TINH LỰC :500| BẠC :0| BẠC KHÓA :469257| ĐỒNG  :0| ĐỒNG KHÓA :4500
2023-10-30 01:33:38: [205669][SSSSSS15][23|6535|3620]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :478497| ĐỒNG  :0| ĐỒNG KHÓA :4525
2023-10-30 01:47:07: [203586][MapKaKa01][5|5356|3186]  HOẠT LỰC :200 | TINH LỰC :200| BẠC :5516556| BẠC KHÓA :335000| ĐỒNG  :0| ĐỒNG KHÓA :6000
2023-10-30 01:52:03: [204974][Zcaychay5][23|8417|3875]  HOẠT LỰC :120 | TINH LỰC :120| BẠC :176200| BẠC KHÓA :529851| ĐỒNG  :0| ĐỒNG KHÓA :6950
2023-10-30 01:52:08: [204445][Zcaychay2][23|8313|4063]  HOẠT LỰC :120 | TINH LỰC :120| BẠC :116200| BẠC KHÓA :582331| ĐỒNG  :0| ĐỒNG KHÓA :7800
2023-10-30 01:53:59: [200172][ShopeeFood][23|6754|3590]  HOẠT LỰC :29160 | TINH LỰC :29160| BẠC :62900| BẠC KHÓA :293457| ĐỒNG  :2180| ĐỒNG KHÓA :0
2023-10-30 01:56:21: [206743][Xiloxila][107|5689|1553]  HOẠT LỰC :2500 | TINH LỰC :2500| BẠC :500| BẠC KHÓA :550181| ĐỒNG  :0| ĐỒNG KHÓA :6000
2023-10-30 01:56:24: [200092][bavuong][23|7311|5689]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :60000| BẠC KHÓA :20441| ĐỒNG  :0| ĐỒNG KHÓA :3370
2023-10-30 02:02:09: [200178][1DaoDoAtMang][23|6754|3590]  HOẠT LỰC :44615 | TINH LỰC :44635| BẠC :345950| BẠC KHÓA :737793| ĐỒNG  :4370| ĐỒNG KHÓA :5435
2023-10-30 02:04:31: [206016][Vippper][23|5953|5639]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :20000| BẠC KHÓA :549754| ĐỒNG  :0| ĐỒNG KHÓA :5250
2023-10-30 02:10:59: [204446][BachCongTu][111|6346|1455]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :251450| ĐỒNG  :0| ĐỒNG KHÓA :3800
2023-10-30 02:10:59: [202498][LionelM10][111|6341|1448]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :160420| ĐỒNG  :0| ĐỒNG KHÓA :3425
2023-10-30 02:30:00: [200575][TongGiang][23|7317|3587]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :51500| BẠC KHÓA :408334| ĐỒNG  :0| ĐỒNG KHÓA :9750
2023-10-30 02:33:32: [200172][ShopeeFood][107|3891|611]  HOẠT LỰC :29160 | TINH LỰC :29160| BẠC :62900| BẠC KHÓA :363371| ĐỒNG  :2180| ĐỒNG KHÓA :0
2023-10-30 02:39:00: [204542][Zcaychay3][23|7511|3964]  HOẠT LỰC :120 | TINH LỰC :120| BẠC :31200| BẠC KHÓA :111174| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 02:40:40: [203453][aaaaaa6][23|8092|4210]  HOẠT LỰC :120 | TINH LỰC :120| BẠC :7168| BẠC KHÓA :26091| ĐỒNG  :0| ĐỒNG KHÓA :2000
2023-10-30 02:41:51: [204263][Zcaychay][23|5821|5701]  HOẠT LỰC :120 | TINH LỰC :120| BẠC :179256| BẠC KHÓA :115601| ĐỒNG  :0| ĐỒNG KHÓA :3150
2023-10-30 02:48:15: [200043][QuanDoLa][23|6485|3643]  HOẠT LỰC :67600 | TINH LỰC :67600| BẠC :3800000| BẠC KHÓA :6684007| ĐỒNG  :402920| ĐỒNG KHÓA :1080525
2023-10-30 02:57:18: [200037][ooHAOHANoo][341|1198|1018]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :497439| ĐỒNG  :0| ĐỒNG KHÓA :2042
2023-10-30 03:02:36: [206744][Testvui][227|3096|1639]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :147795| ĐỒNG  :0| ĐỒNG KHÓA :10
