2023-10-29 01:52:03: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=10405_nam100n81 dstPlayer=203949 in= out=-100:55000 map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=171.239.214.58 friendDegree=0
2023-10-29 01:52:15: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=10407_nam100n83 dstPlayer=203952 in= out=-100:55000 map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=103.138.109.217 friendDegree=0
2023-10-29 01:52:35: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=10400_nam100n86 dstPlayer=203948 in= out=-100:55000 map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=171.239.214.58 friendDegree=0
2023-10-29 01:52:42: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=10409_nam100n84 dstPlayer=203953 in= out=-100:55000 map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=103.138.109.217 friendDegree=0
2023-10-29 01:52:52: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=10404_nam100n88 dstPlayer=203947 in= out=-100:55000 map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=171.239.214.58 friendDegree=0
2023-10-29 01:53:01: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=10402_nam100n89 dstPlayer=203950 in= out=-100:55000 map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=171.239.214.58 friendDegree=0
2023-10-29 01:53:09: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=10404_nam100n88 dstPlayer=203947 in= out=-100:55000 map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=171.239.214.58 friendDegree=0
2023-10-29 01:53:17: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=10401_nam100n87 dstPlayer=203951 in= out=-100:55000 map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=171.239.214.58 friendDegree=0
2023-10-29 01:54:58: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=10403_nam100n80 dstPlayer=203955 in=10127:2 out= map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=171.239.214.58 friendDegree=0
2023-10-29 01:55:09: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=10407_nam100n83 dstPlayer=203952 in=10127:2 out= map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=103.138.109.217 friendDegree=0
2023-10-29 01:55:18: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=10400_nam100n86 dstPlayer=203948 in=10127:2 out= map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=171.239.214.58 friendDegree=0
2023-10-29 01:55:32: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=10409_nam100n84 dstPlayer=203953 in=10127:1 out= map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=103.138.109.217 friendDegree=0
2023-10-29 01:56:43: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=10409_nam100n84 dstPlayer=203953 in=10127:1 out= map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=103.138.109.217 friendDegree=0
2023-10-29 01:56:56: [TRADE] server=1 source=10405_nam100n81 srcPlayer=203949 target=10406_nam100n85 dstPlayer=203742 in= out=10127:2 map=5 sviplevel=0 tviplevel=0 sexp=171.239.214.58 texp=103.138.109.217 friendDegree=0
2023-10-29 01:57:04: [TRADE] server=1 source=10408_nam100n82 srcPlayer=203954 target=10406_nam100n85 dstPlayer=203742 in= out=10667:1,10127:1 map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=103.138.109.217 friendDegree=0
2023-10-29 01:57:11: [TRADE] server=1 source=10401_nam100n87 srcPlayer=203951 target=10406_nam100n85 dstPlayer=203742 in= out=10127:1,10307:1 map=5 sviplevel=0 tviplevel=0 sexp=171.239.214.58 texp=103.138.109.217 friendDegree=0
2023-10-29 01:57:22: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=10404_nam100n88 dstPlayer=203947 in=10127:2 out= map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=171.239.214.58 friendDegree=0
2023-10-29 01:58:02: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=10402_nam100n89 dstPlayer=203950 in=10307:1,10127:1 out= map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=171.239.214.58 friendDegree=0
2023-10-29 01:58:56: [TRADE] server=1 source=17_tng19xx srcPlayer=200003 target=9258_thichduthu84 dstPlayer=203637 in=10967:1 out= map=5 sviplevel=0 tviplevel=0 sexp=14.191.189.56 texp=14.191.189.56 friendDegree=0
2023-10-29 01:59:29: [TRADE] server=1 source=17_tng19xx srcPlayer=200003 target=9258_thichduthu84 dstPlayer=203637 in= out=10967:1 map=5 sviplevel=0 tviplevel=0 sexp=14.191.189.56 texp=14.191.189.56 friendDegree=0
2023-10-29 02:03:10: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=9382_nam100n79 dstPlayer=203629 in= out=-100:55000 map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=171.239.214.58 friendDegree=0
2023-10-29 02:03:19: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=9384_nam100n71 dstPlayer=203626 in= out=-100:55000 map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=103.138.109.217 friendDegree=0
2023-10-29 02:03:27: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=9388_nam100n72 dstPlayer=203633 in= out=-100:55000 map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=171.239.214.58 friendDegree=0
2023-10-29 02:03:34: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=9385_nam100n75 dstPlayer=203631 in= out=-100:55000 map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=103.138.109.217 friendDegree=0
2023-10-29 02:03:43: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=9380_nam100n76 dstPlayer=203630 in= out=-100:55000 map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=171.239.214.58 friendDegree=0
2023-10-29 02:03:49: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=9387_nam100n74 dstPlayer=203636 in= out=-100:55000 map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=171.239.214.58 friendDegree=0
2023-10-29 02:03:58: [TRADE] server=1 source=9386_nam100n73 srcPlayer=203634 target=10406_nam100n85 dstPlayer=203742 in=-100:55000 out= map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=103.138.109.217 friendDegree=0
2023-10-29 02:04:04: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=9381_nam100n77 dstPlayer=203627 in= out=-100:55000 map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=171.239.214.58 friendDegree=0
